word	count	candidate	candidate_count	score
kathan	1	katha	51	0.909
langna	1	langa	182	0.909
iseiya	1	seiya	56	0.909
amanlu	1	amanu	394	0.909
lengpitheiya	1	lengpithei	54	0.909
syrian	1	syria	152	0.909
ahjinu	1	ajinu	120	0.909
akitui	1	akiti	61	0.909
meiyi	1	meiyin	80	0.909
vahom	1	vaihom	131	0.909
nunin	1	nungin	81	0.909
amleng	1	aleng	64	0.909
konjin	1	konin	1551	0.909
nathia	1	natha	60	0.909
pulut	1	puilut	82	0.909
thapi	1	thalpi	80	0.909
kulpin	1	kulpi	169	0.909
aeiye	1	aseiye	1126	0.909
aeiye	1	aneiye	58	0.909
gathum	1	athum	60	0.909
lumdoh	1	umdoh	83	0.909
gamlan	1	gamla	119	0.909
sekel	1	shekel	162	0.909
pakahi	1	pakai	5373	0.909
juvin	1	jouvin	137	0.909
juvin	1	jiuvin	172	0.909
sakeii	1	sakei	127	0.909
achoom	1	achom	102	0.909
ingtin	1	intin	76	0.909
uhitam	1	hitam	401	0.909
sathem	1	sahem	74	0.909
akiam	1	akijam	80	0.909
maonga	1	monga	159	0.909
maonga	1	manga	76	0.909
